handle,name,description,sku,price,inventory,visible,productOptionName1,productOptionValue1,productOptionName2,productOptionValue2,fieldType,type
colchon-med-70x105x12-para-cuna-colecho-corral-uni,Colchon Med 70x105x12 Para Cuna Colecho Corral Unicuna,Colchon especializado. Medida 70x105. Color Agua.,U3334621824,1850,332,true,Color,Agua,Tamano,70x105,Product,Physical
colchon-med-70x105x12-para-cuna-colecho-corral-uni,Colchon Med 70x105x12 Para Cuna Colecho Corral Unicuna,Colchon especializado. Medida 70x105. Color Amarillo.,U3342592163,1859,333,true,Color,Amarillo,Tamano,70x105,Product,Physical
colchon-impermeable-cuna-colecho-corral-60x95x8-un,Colchon Impermeable Cuna Colecho Corral 60x95x8 Unicuna,Colchon especializado. Medida 60x95. Color Rosa.,U3371014153,1895,332,true,Color,Rosa,Tamano,60x95,Product,Physical
colchon-para-cuna-colecho-corral-medida-50x80x10-u,Colchon Para Cuna Colecho Corral Medida 50x80x10 Unicuna,Colchon especializado. Medida 50x80. Color Azul Claro.,U3331780754,1985,333,true,Color,Azul Claro,Tamano,50x80,Product,Physical
colchon-memory-60x95x13-cuna-colecho-corral-incl-a,Colchon Memory 60x95x13 Cuna Colecho Corral Incl Almohada,Colchon especializado. Medida 60x95. Color Agua.,U3446460173,2200,330,true,Color,Agua,Tamano,60x95,Product,Physical
colchon-memory-form-75x105x13-cuna-colecho-incluye,Colchon Memory Form 75x105x13 Cuna Colecho Incluye Almohada,Colchon especializado. Medida 75x105. Color Agua.,U3453462186,2565,331,true,Color,Agua,Tamano,75x105,Product,Physical
colchon-memory-form-105x70x13-cuna-colecho-con-alm,Colchon Memory Form 105x70x13 Cuna Colecho Con Almohada Rosa,Colchon especializado. Medida 105x70. Color Rosa Claro.,U3497228084,2488,333,true,Color,Rosa Claro,Tamano,105x70,Product,Physical
colchon-50x85x12-cm-para-cuna-colecho-corral-unicu,Colchon 50x85x12 Cm Para Cuna Colecho Corral Unicuna,Colchon especializado. Medida 50x85. Color Amarillo.,U3342471217,1856,332,true,Color,Amarillo,Tamano,50x85,Product,Physical
colchon-cuna-corral-imper-con-almohada-ros-70x-10-,Colchon Cuna Corral Imper Con Almohada Ros 70x 10 M,Colchon especializado. Medida Estandar. Color Rosa.,U953696445,889,14,true,Color,Rosa,Tamano,Estandar,Product,Physical
colchon-65x95x12-para-cuna-colecho-corral-supreme-,Colchon 65x95x12 Para Cuna Colecho Corral Supreme Unicuna,Colchon especializado. Medida 65x95. Color Agua.,U3326448491,1895,333,true,Color,Agua,Tamano,65x95,Product,Physical
